rank,city,country
1,Vienna,Austria
2,Zürich,Switzerland
3,Munich,Germany
3,Auckland,New Zealand
3,Vancouver,Canada
6,Düsseldorf,Germany
7,Frankfurt,Germany
9,Geneva,Switzerland
8,Copenhagen,Denmark
10,Basel,Switzerland
11,Sydney,Australia
11,Amsterdam,Netherlands
13,Berlin,Germany
14,Bern,Switzerland
15,Wellington,New Zealand
16,Toronto,Canada
17,Melbourne,Australia
18,Luxembourg,Luxembourg
19,Ottawa,Canada
19,Hamburg,Germany
21,Perth City,Australia
21,Montreal,Canada
23,Stockholm,Sweden
23,Nuremberg,Germany
25,Singapore,Singapore
25,Oslo,Norway
28,Brussels,Belgium
27,Stuttgart,Germany
29,Adelaide,Australia
34,San Francisco,United States
30,Canberra,Australia
31,Helsinki,Finland
32,Calgary,Canada
33,Dublin,Ireland
36,Boston,United States
37,Honolulu,United States
35,Brisbane,Australia
37,Lisbon,Portugal
39,Paris,France
40,Lyon,France
41,London,United Kingdom
41,Milan,Italy
43,Barcelona,Spain
46,Seattle,United States
44,New York City,United States
45,Edinburgh,United Kingdom
49,Chicago,United States
53,"Washington, D.C.",United States
46,Madrid,Spain
49,Tokyo,Japan
49,Kobe,Japan
49,Birmingham,United Kingdom
48,Glasgow City,United Kingdom
54,Philadelphia,United States
55,Yokohama,Japan
56,Rome,Italy
57,Aberdeen,United Kingdom
58,Osaka,Japan
59,Pittsburgh,United States
60,Leipzig,Germany
61,Minneapolis City,United States
62,Nagoya City,Japan
63,Dallas,United States
64,Belfast,United Kingdom
64,Atlanta,United States
66,Houston,United States
66,Los Angeles,United States
66,Miami City,United States
69,Prague,Czech Republic
70,St. Louis,United States
71,Hong Kong,Hong Kong
72,Point-a-Pitre City,Guadeloupe
72,Detroit,United States
74,Ljubljana,Slovenia
74,Dubai,United Arab Emirates
76,Budapest,Hungary
77,Seoul,South Korea
78,Abu Dhabi,United Arab Emirates
78,Montevideo,Uruguay
80,Bratislava,Slovakia
81,Vilnius,Lithuania
82,Warsaw,Poland
83,Port Louis,Mauritius
84,Taipei,Taiwan Taiwan
85,Kuala Lumpur,Malaysia
86,Limassol,Cyprus
86,Tallinn,Estonia
88,Durban,South Africa
89,Athens,Greece
90,Riga,Latvia
91,Buenos Aires,Argentina
92,San Juan,Puerto Rico
93,Santiago,Chile Chile
94,Busan,South Korea
95,Cape Town,South Africa
96,Johannesburg,South Africa
97,Panama City,Panama
98,Zagreb,Croatia
98,Victoria,Seychelles
100,Wroclaw,Poland